행정구역별(시도),거처의 종류별,가구-계,반려동물미보유가구-계,반려동물보유가구-계,개,고양이,기타,계
전국,계,20926710,17797748,3128962,2268514,571045,131440,2970999
전국,주택,19841582,16863160,2978422,2163026,538880,127728,2829634
전국,단독주택,6352065,5293111,1058954,809962,152282,24574,986818
전국,아파트,10782182,9276293,1505889,1060862,300413,86783,1448058
전국,연립주택,441888,377178,64710,46136,12983,2747,61866
전국,다세대주택,1944997,1643427,301570,211379,65200,12331,288910
전국,비거주용 건물 내 주택,320450,273151,47299,34687,8002,1293,43982
전국,주택이외의 거처,1085128,934588,150540,105488,32165,3712,141365
서울특별시,계,3982290,3484177,498113,344419,110065,24800,479284
서울특별시,주택,3683785,3210628,473157,329287,101917,23999,455203
서울특별시,단독주택,1039703,924353,115350,78672,27705,4577,110954
서울특별시,아파트,1713267,1486541,226726,161691,42626,13708,218025
서울특별시,연립주택,104234,88356,15878,11151,3368,779,15298
서울특별시,다세대주택,748187,641369,106818,72114,26253,4538,102905
서울특별시,비거주용 건물 내 주택,78394,70009,8385,5659,1965,397,8021
서울특별시,주택이외의 거처,298505,273549,24956,15132,8148,801,24081
부산광역시,계,1405037,1220755,184282,129190,39051,8138,176379
부산광역시,주택,1321995,1148321,173674,122427,35978,7843,166248
부산광역시,단독주택,337121,294325,42796,31881,7561,1191,40633
부산광역시,아파트,798473,689618,108855,75140,23627,5733,104500
부산광역시,연립주택,27009,23771,3238,2324,628,144,3096
부산광역시,다세대주택,139946,123822,16124,11111,3673,721,15505
부산광역시,비거주용 건물 내 주택,19446,16785,2661,1971,489,54,2514
부산광역시,주택이외의 거처,83042,72434,10608,6763,3073,295,10131
대구광역시,계,985816,865720,120096,86371,23450,5560,115381
대구광역시,주택,960848,843964,116884,84046,22738,5504,112288
대구광역시,단독주택,323121,282443,40678,29868,7824,1176,38868
대구광역시,아파트,565990,499530,66460,47204,12869,4020,64093
대구광역시,연립주택,8182,7259,923,671,151,44,866
대구광역시,다세대주택,49298,42448,6850,4848,1512,233,6593
대구광역시,비거주용 건물 내 주택,14257,12284,1973,1455,382,31,1868
대구광역시,주택이외의 거처,24968,21756,3212,2325,712,56,3093
인천광역시,계,1147200,952813,194387,143348,34515,7549,185412
인천광역시,주택,1055298,876821,178477,132224,30978,7148,170350
인천광역시,단독주택,179657,149548,30109,22103,4875,859,27837
인천광역시,아파트,630056,525815,104241,77648,17848,4745,100241
인천광역시,연립주택,24543,19798,4745,3423,980,159,4562
인천광역시,다세대주택,207860,170534,37326,27484,6951,1336,35771
인천광역시,비거주용 건물 내 주택,13182,11126,2056,1566,324,49,1939
인천광역시,주택이외의 거처,91902,75992,15910,11124,3537,401,15062
광주광역시,계,599217,524718,74499,52779,15487,3138,71404
광주광역시,주택,582684,510012,72672,51469,15036,3125,69630
광주광역시,단독주택,159596,138562,21034,15700,3765,468,19933
광주광역시,아파트,400562,351996,48566,33742,10508,2556,46806
광주광역시,연립주택,8597,7465,1132,677,348,37,1062
광주광역시,다세대주택,6530,5703,827,497,251,38,786
광주광역시,비거주용 건물 내 주택,7399,6286,1113,853,164,26,1043
광주광역시,주택이외의 거처,16533,14706,1827,1310,451,13,1774
대전광역시,계,631208,551052,80156,56910,16081,4047,77038
대전광역시,주택,615737,537198,78539,55833,15668,3980,75481
대전광역시,단독주택,218404,190870,27534,19583,5696,909,26188
대전광역시,아파트,348532,303770,44762,31610,8872,2762,43244
대전광역시,연립주택,9329,8128,1201,906,230,39,1175
대전광역시,다세대주택,30951,27133,3818,2843,659,212,3714
대전광역시,비거주용 건물 내 주택,8521,7297,1224,891,211,58,1160
대전광역시,주택이외의 거처,15471,13854,1617,1077,413,67,1557
울산광역시,계,444087,384845,59242,41040,12425,2926,56391
울산광역시,주택,430544,373234,57310,39728,12053,2870,54651
울산광역시,단독주택,127212,108295,18917,13907,3399,502,17808
울산광역시,아파트,269162,235619,33543,22430,7637,2143,32210
울산광역시,연립주택,6093,5275,818,522,227,46,795
울산광역시,다세대주택,19791,17031,2760,1883,635,127,2645
울산광역시,비거주용 건물 내 주택,8286,7014,1272,986,155,52,1193
울산광역시,주택이외의 거처,13543,11611,1932,1312,372,56,1740
세종특별자치시,계,139106,120612,18494,12641,3557,1144,17342
세종특별자치시,주택,135595,117629,17966,12315,3464,1130,16909
세종특별자치시,단독주택,28601,23639,4962,3856,571,113,4540
세종특별자치시,아파트,104323,91630,12693,8241,2851,997,12089
세종특별자치시,연립주택,850,749,101,71,17,6,94
세종특별자치시,다세대주택,948,861,87,51,14,5,70
세종특별자치시,비거주용 건물 내 주택,873,750,123,96,11,9,116
세종특별자치시,주택이외의 거처,3511,2983,528,326,93,14,433
경기도,계,5098431,4236258,862173,623960,157807,38411,820178
경기도,주택,4788696,3973532,815164,591292,147555,37172,776019
경기도,단독주택,1070690,878501,192189,142235,31282,5008,178525
경기도,아파트,2974909,2486514,488395,352001,90577,27061,469639
경기도,연립주택,113167,93021,20146,14718,3611,758,19087
경기도,다세대주택,572818,467614,105204,75392,20682,4124,100198
경기도,비거주용 건물 내 주택,57112,47882,9230,6946,1403,221,8570
경기도,주택이외의 거처,309735,262726,47009,32668,10252,1239,44159
강원도,계,661039,547395,113644,86273,16121,3527,105921
강원도,주택,641098,531680,109418,83060,15640,3431,102131
강원도,단독주택,293979,230951,63028,50184,6505,1037,57726
강원도,아파트,308932,267957,40975,28793,8268,2229,39290
강원도,연립주택,15521,13832,1689,1200,347,70,1617
강원도,다세대주택,9202,8077,1125,839,161,74,1074
강원도,비거주용 건물 내 주택,13464,10863,2601,2044,359,21,2424
강원도,주택이외의 거처,19941,15715,4226,3213,481,96,3790
충청북도,계,678922,569226,109696,82132,16736,4238,103106
충청북도,주택,658859,552941,105918,79199,16355,4143,99697
충청북도,단독주택,286542,230347,56195,44665,6227,1256,52148
충청북도,아파트,332619,288544,44075,30491,9060,2750,42301
충청북도,연립주택,12607,11059,1548,1116,324,31,1471
충청북도,다세대주택,15530,13391,2139,1519,448,77,2044
충청북도,비거주용 건물 내 주택,11561,9600,1961,1408,296,29,1733
충청북도,주택이외의 거처,20063,16285,3778,2933,381,95,3409
충청남도,계,892222,734862,157360,115810,24638,5406,145854
충청남도,주택,854972,704023,150949,111177,23578,5214,139969
충청남도,단독주택,381479,298159,83320,65464,8492,1389,75345
충청남도,아파트,413392,354605,58787,39578,13385,3482,56445
충청남도,연립주택,16762,14517,2245,1514,495,98,2107
충청남도,다세대주택,29934,25790,4144,2877,846,177,3900
충청남도,비거주용 건물 내 주택,13405,10952,2453,1744,360,68,2172
충청남도,주택이외의 거처,37250,30839,6411,4633,1060,192,5885
전라북도,계,755575,645814,109761,83750,15846,3642,103238
전라북도,주택,736140,630244,105896,80635,15469,3592,99696
전라북도,단독주택,335270,271598,63672,51640,6284,1181,59105
전라북도,아파트,366044,328057,37987,25962,8356,2293,36611
전라북도,연립주택,13258,11976,1282,917,301,15,1233
전라북도,다세대주택,10245,9102,1143,750,284,55,1089
전라북도,비거주용 건물 내 주택,11323,9511,1812,1366,244,48,1658
전라북도,주택이외의 거처,19435,15570,3865,3115,377,50,3542
전라남도,계,761518,624566,136952,107247,16897,3294,127438
전라남도,주택,731418,600928,130490,102172,16175,3226,121573
전라남도,단독주택,392383,302747,89636,74443,7103,972,82518
전라남도,아파트,303159,267180,35979,24276,8120,2098,34494
전라남도,연립주택,13196,11680,1516,981,389,72,1442
전라남도,다세대주택,8099,7107,992,684,228,32,944
전라남도,비거주용 건물 내 주택,14581,12214,2367,1788,335,52,2175
전라남도,주택이외의 거처,30100,23638,6462,5075,722,68,5865
경상북도,계,1131819,962160,169659,129626,23756,6035,159417
경상북도,주택,1094577,932909,161668,123110,23018,5948,152076
경상북도,단독주택,538616,441406,97210,78547,9668,1897,90112
경상북도,아파트,473622,419345,54277,37304,11491,3598,52393
경상북도,연립주택,24106,21448,2658,1889,486,179,2554
경상북도,다세대주택,37503,33132,4371,3079,875,211,4165
경상북도,비거주용 건물 내 주택,20730,17578,3152,2291,498,63,2852
경상북도,주택이외의 거처,37242,29251,7991,6516,738,87,7341
경상남도,계,1350155,1150659,199496,141713,38206,8343,188262
경상남도,주택,1304378,1112398,191980,135989,37104,8185,181278
경상남도,단독주택,520448,430172,90276,69399,12656,1640,83695
경상남도,아파트,711733,620436,91297,59198,22393,6160,87751
경상남도,연립주택,21420,18710,2710,2013,514,119,2646
경상남도,다세대주택,30384,26309,4075,2711,948,204,3863
경상남도,비거주용 건물 내 주택,20393,16771,3622,2668,593,62,3323
경상남도,주택이외의 거처,45777,38261,7516,5724,1102,158,6984
제주특별자치도,계,263068,222116,40952,31305,6407,1242,38954
제주특별자치도,주택,244958,206698,38260,29063,6154,1218,36435
제주특별자치도,단독주택,119243,97195,22048,17815,2669,399,20883
제주특별자치도,아파트,67407,59136,8271,5553,1925,448,7926
제주특별자치도,연립주택,23014,20134,2880,2043,567,151,2761
제주특별자치도,다세대주택,27771,24004,3767,2697,780,167,3644
제주특별자치도,비거주용 건물 내 주택,7523,6229,1294,955,213,53,1221
제주특별자치도,주택이외의 거처,18110,15418,2692,2242,253,24,2519
